refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR4478672	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 32 4 Hour Heat Stress Pituitary 1307	
SRR4478673	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 32 4 Hour Control Pituitary 1308	
SRR4478674	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 32 4 Hour Control Pituitary 1309	
SRR4478676	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Heat Stress Pituitary 1312	
SRR4478677	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Heat Stress Pituitary 1313	
SRR4478678	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 32 4 Hour Control Pituitary 1314	
SRR4478679	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 32 4 Hour Control Pituitary 1315	
SRR4478680	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1317	
SRR4478681	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1319	
SRR4478682	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1413	
