Gene,Log2FoldChange,p_value,adjusted_p_value
3199,0.3181536512128572,2.7159125299130847e-06,0.004986833237617333
14761,0.28099195530069226,0.005142591939460263,0.049101467837966595
7138,0.2787262956528449,0.000737565723926239,0.014671411525099437
3556,0.2739362288227143,0.003984795811612467,0.04333351982833238
20166,0.2597838209730692,8.811340986367754e-09,0.00010516335467229915
10398,0.24427029920250387,1.7798545996314954e-05,0.013704880417162515
12035,0.2439293624836376,0.001176882389476403,0.020853246598136962
14863,0.23927820981606773,1.4235568025715478e-06,0.0033980300877382848
429,0.23810775062010037,1.5239230935456221e-05,0.012543463532046207
8268,0.23101160790363306,3.3370368141164373e-06,0.005310337916863957
2816,0.22040148417184513,0.00176478002666416,0.02703806112738992
4660,0.21828622886604254,1.33354614160948e-06,0.0033980300877382848
1738,0.21685616876501382,0.0038396097568576706,0.04254943588495478
2732,0.21651475219183958,0.001650005475190922,0.025776259571614252
4316,0.2148904182977539,0.004658422243991015,0.04666786193676339
7901,0.20658652953840528,0.005133721702244012,0.04907805519281793
19616,0.20302863708754404,0.0018127181138414556,0.02750768046878293
13786,0.1992236617849561,0.0010779140353184972,0.01947752310602008
5614,0.1976804832267124,0.003288979814186836,0.039431415451853226
13015,0.19669637351389424,5.95133640649464e-06,0.006517882519475042
2291,0.19254835077546623,0.003322185602935137,0.03957114288526034
15118,0.19216226321445184,0.0005639209521476763,0.014099267609602643
4880,0.19058240427537054,0.0008239416870404301,0.015976838399394854
9851,0.1896733886794707,0.004173625814519724,0.04453446190528324
11915,0.1893167981030145,0.004231304942958549,0.04490940372984463
4190,0.18917695270527934,0.002418579429833848,0.033002502714170316
3880,0.1832466987917858,0.003459366767043477,0.04041687940570661
7829,0.1830178800567217,0.0023623755223990016,0.03251172245546481
1095,0.18158422740884506,0.002816471494971928,0.03612529531702307
7570,0.18074690054578058,0.0006307096002890996,0.014099267609602643
2121,0.1766822151510935,0.005237472661608476,0.04955151503471832
21197,0.17359289451634896,0.0020699226692555348,0.029977206652192438
2888,0.17293939365801947,0.004666999572223059,0.04666786193676339
17737,0.17092928264457863,0.003697424881600607,0.0417096086596439
12571,0.17050080467153528,0.0007175236398745217,0.014356487245435735
13149,0.1700912842595601,0.0007611677581117386,0.015003364480699588
1153,0.16923620680107676,0.0006477090706313323,0.014099267609602643
13736,0.16820859854809633,0.00024095474105862168,0.014099267609602643
14924,0.1679004912683868,1.0904122855960715e-05,0.010010823560453163
12039,0.16664067349179312,0.005062839818778713,0.04880237955992109
10752,0.16507215736255798,0.0017741198811390764,0.027146308694095993
5083,0.16222345389835935,3.887546583637364e-07,0.0017219262451876297
12807,0.16166486552236692,0.004005062981127506,0.043474694570038
2798,0.15902102619349323,2.5825378269601207e-05,0.014099267609602643
11799,0.1579523581259209,0.004513032664121675,0.045899484317249425
13412,0.15550530351144343,0.004117366164189657,0.0442909104728288
12210,0.15475561593703557,0.005093893838880813,0.04894977694608897
14349,0.15430389821582297,0.0030608879318501534,0.03760339420137064
11564,0.14938322663457615,0.00056714650328478,0.014099267609602643
22945,0.14853435544766425,0.004289313385754527,0.045223458709346534
21326,0.1484508506115898,0.0015058433851383609,0.024406296475094368
22361,0.14840607614451828,0.002638249367564741,0.03495817586786361
6362,0.14829261772971225,0.002668132501571244,0.03510932900358632
6017,0.14498452277768736,0.0024897220857037785,0.033692778183391996
12821,0.14322085548997143,0.0037852359232762246,0.04218193381776058
12621,0.14277596945532722,5.346742200590932e-05,0.014099267609602643
11949,0.14272818260225195,0.0005282332974125392,0.014099267609602643
10211,0.1420290444309209,0.0001376050456726849,0.014099267609602643
11840,0.14175231497935015,0.00010820757660598925,0.014099267609602643
6518,0.13953597175856497,0.0032192005336273057,0.03882886141368559
12465,0.13932735934830276,0.001136780513653601,0.020325805888323188
2825,0.13853961420323824,0.00441625605592183,0.04537926476747915
12842,0.13722513060871944,0.0009224253098491223,0.017309978102278734
13072,0.13407239204456556,0.0020309661420494307,0.029687178083723155
17251,0.1334791376558253,0.0007437822315736451,0.014770450805044018
5727,0.1313686778759986,0.00426971203036626,0.045150547507054814
11273,0.13134470983763613,0.005264850412565395,0.04964443310336871
4973,0.1306433245690135,0.0021821143360485737,0.030875559692637493
22072,0.13005125611329604,0.004074472022201559,0.04400798514477431
18237,0.12965179270034893,0.002763981921162511,0.0357563936862223
12494,0.12896979258090968,0.004454015994244597,0.045629769005415675
22702,0.12875245803049207,0.0029516811906825395,0.03679197390161473
958,0.1267423291889248,0.0007672436266502111,0.015085754010000445
732,0.12617133556668536,0.00496420955911179,0.0481689764943083
1839,0.12588428984407996,0.0037672830949885506,0.04206546034515069
6035,0.12588393460529423,0.002524436531641039,0.03389105737360607
3488,0.12439622256472194,0.0009690985881782964,0.017977667730748787
5968,0.12398467770127697,0.001715306171079325,0.026535553015984113
7803,0.12349671822016102,0.002399323870274694,0.03283936971528494
12299,0.12348632552288397,0.0005384549567763568,0.014099267609602643
11072,0.122135477833061,0.0024272975181661187,0.03307054324122446
10065,0.12211227007733516,0.0014287387017221118,0.023568757989016455
1361,0.1219934821865003,0.0008495917756387221,0.016334864680465484
4074,0.12086167267942294,0.002348142074146776,0.03242760463879041
12526,0.12081325522413588,4.184168337336518e-06,0.0060934737245559745
2955,0.12011662191664585,0.0006928969256576562,0.014099267609602643
13342,0.11983051691928637,0.001878843152290372,0.028259600532559027
19781,0.11974164984236069,0.004174067651061543,0.04453446190528324
20817,0.11909583299058757,0.0011063097113160596,0.01991524344578759
13294,0.11894052303566138,0.0011425207365431602,0.02039788330687003
8142,0.11887470836408207,0.002216155174058201,0.031246086240265362
10040,0.1185334678245416,0.0012631726370986472,0.021927073633424558
9977,0.11796745594872715,0.0014886856373630447,0.02427249054908188
11845,0.11727753969472854,0.00021804437506415272,0.014099267609602643
210,0.11725164539024346,0.004675706291368924,0.04666786193676339
23293,0.11676303726447257,0.0013739442288151172,0.022950349014567425
3545,0.11667261090051473,0.002169381737523498,0.030769906913804403
7241,0.11657969094923004,0.0016939002015402545,0.026306699941942662
4042,0.11655570110512814,0.0038212783688688734,0.04240535316824733
4911,0.11605081300286457,0.0023637389109799154,0.03251172245546481
14351,0.11588914621761748,0.004273603433575194,0.045150547507054814
3515,0.1157877566763813,0.002306561933230813,0.032047516499545695
21005,0.1157156688811064,0.003927049514069641,0.04307843377796063
15264,0.11466725729375393,4.251503487874775e-05,0.014099267609602643
7238,0.11401454642656117,0.0027201934095907212,0.035481565074814224
9029,0.11389488845856333,0.0016130720192560305,0.025415200725835942
1847,0.11270077479729357,0.001744098323962063,0.026876453836652322
18036,0.11214927963695742,0.001274277443189417,0.021927073633424558
1352,0.11174811427349218,0.002016874756502068,0.029571744740604648
13639,0.11139102260141576,0.004084140748831378,0.044052616210847266
23089,0.11104544863374688,0.002348861684979833,0.03242760463879041
7745,0.1110209895063764,0.003932976429236349,0.04309629023479082
10161,0.11025124134062902,0.0006178875139510197,0.014099267609602643
22750,0.1096228299280371,0.000906575955248847,0.01710669411208694
14389,0.10938892728237014,0.0030059461800028726,0.03723504686905479
6652,0.10904599185788054,0.0011343247290755518,0.020297099912318907
21350,0.10903528711653732,0.0034416461706123017,0.04032994309892766
4634,0.10886465760222086,0.002124993759515945,0.030409832757581298
6879,0.10824178985663524,7.306126160562612e-06,0.007266551310526231
3184,0.10748357782908036,0.0029328095117231432,0.036739864029815626
3208,0.10673093930181965,0.005060905523776349,0.04880237955992109
335,0.10669948253644668,3.9699304149375e-09,9.476223900455813e-05
3583,0.10638026372268694,0.00523576264609566,0.04955151503471832
18243,0.10531757966980226,0.004236035795601732,0.04491123553739823
11943,0.10496026988122042,0.0015231177177467867,0.024601068073163597
23824,0.10480677563509921,0.0011299361891551956,0.0202489315579088
1398,0.10478017961475605,0.00013571929689373658,0.014099267609602643
6588,0.10475243318553651,0.003459970996327337,0.04041687940570661
14934,0.1047523629120343,0.003989837899251825,0.043368593194508684
12504,0.10308474442937543,0.005264264401505448,0.04964443310336871
18273,0.10296482521592336,0.0034708820450678316,0.04046401646082996
7114,0.10290342940305908,0.0027514451241371367,0.03571342855527649
1159,0.1027499108053802,0.00021497872600950214,0.014099267609602643
7563,0.1025459432635355,0.0011411170083377466,0.020388071099567372
13033,0.10250865032964238,0.0012807439843158838,0.021930673533443433
7111,0.10241859840024303,0.0033564038589118435,0.03979998018491093
8311,0.10233318127672597,0.004624538125236876,0.046452489861752655
6196,0.10231874104364935,0.0006508257291356073,0.014099267609602643
19404,0.10165089324240463,0.00017439155850397663,0.014099267609602643
19811,0.10154024144610818,0.0016720456960692058,0.02600112753431397
2889,0.10140678406916104,0.00013194663385886112,0.014099267609602643
13048,0.10104007468619683,0.00038146301260475347,0.014099267609602643
8803,0.10103040634487043,0.0035189851220425155,0.04063772368802847
4709,0.10076998591421205,0.004340840477607818,0.04526864941080304
13551,0.10003324721940077,4.005008601264856e-05,0.014099267609602643
14871,0.09981624795448596,0.0012455383243024744,0.021666522020624412
15468,0.09960545779671204,0.003360677027893263,0.03983086427796037
3841,0.0988422817065513,0.003218625573360801,0.03882886141368559
21905,0.09806347821199657,0.00032450830709171484,0.014099267609602643
5574,0.0974266305804592,0.004227276504417869,0.04488660594326269
12161,0.09727766315532937,0.0008578513427873428,0.01644731851593082
11766,0.09704805314099718,0.0003305084165126281,0.014099267609602643
3136,0.09701535505672343,5.1436902845953184e-05,0.014099267609602643
10648,0.09677408892220862,0.004753584838327683,0.04706265868555861
20310,0.09668540943433102,0.003976538436503122,0.04330290715297879
1434,0.0964235845273901,0.00421611242561125,0.04480792680291209
3320,0.09562790281372868,0.001897575820289048,0.02846960077328697
3205,0.09510513959900901,0.0025015580543768347,0.03373570099320624
14649,0.09508037511983325,0.003213941268588243,0.038813299755316395
4704,0.0950067201076008,0.004806749538976799,0.04730472598129617
14641,0.09497432798994893,0.0030602995650217163,0.03760339420137064
11194,0.09468376306776449,0.003511808797985185,0.04063772368802847
16643,0.09411491322494113,0.004178242159258162,0.04454427884836638
296,0.09390665600757715,0.0023061754005179323,0.032047516499545695
23864,0.09383553772967367,0.003511541290256866,0.04063772368802847
13684,0.09362014379357303,0.0028846047729586015,0.03650500246056465
6969,0.09342624976519653,0.0029103233998954182,0.03665805634089743
22021,0.09337018977309981,0.0019105961659603421,0.028593059862992706
3015,0.09312976973334808,0.003568464362173996,0.04092760954228993
20487,0.09294766544603594,0.0005280996571683728,0.014099267609602643
1293,0.09258210297671043,0.003002476688083606,0.03721138034504449
4858,0.09181082469627272,0.0031566162521477472,0.03840476131066612
15378,0.09158893918803898,0.00037426554054163986,0.014099267609602643
19867,0.0915123459217013,0.0004720575660044742,0.014099267609602643
8297,0.09056002948875841,6.996058085575354e-05,0.014099267609602643
12440,0.0902609634798357,0.0032146582998014463,0.038813299755316395
7172,0.08865501134600406,0.003157043080458686,0.03840476131066612
2595,0.08847615452149298,0.0014545780817105012,0.02394536469684804
1781,0.08834906696174372,0.0037677400175086797,0.04206546034515069
1695,0.08781087811488097,0.003071148257626858,0.03769064725426895
10951,0.08754947369685229,0.0036969060966494855,0.0417096086596439
18320,0.08753376337595739,0.002432036466087041,0.03307846749031206
11815,0.08740961974110117,0.0009451507905672688,0.01763936620081369
12600,0.0873426529375525,0.00036685726004946265,0.014099267609602643
5845,0.08678678211927893,4.498956405114363e-06,0.0060934737245559745
17326,0.08647376400589277,0.0011494102052759247,0.020457470566978067
5167,0.08616694556613469,0.004837435456220753,0.0474597551746771
15838,0.08582616680865929,0.00217985075504973,0.030861825339879627
19581,0.08582482979209033,0.004356835956578318,0.04526864941080304
15979,0.08558114126355323,0.00041685953598357485,0.014099267609602643
8480,0.08550490345074639,0.0006618480045225934,0.014099267609602643
22825,0.08528190014547629,0.0029059090395901223,0.03664239237982896
19650,0.08487327097389896,0.0003632572654994531,0.014099267609602643
1822,0.08461483372189806,0.0010171647669692213,0.01860515171460177
2530,0.08460600247598138,0.0033304225220839425,0.03960995794825296
2232,0.08460278833861878,0.0007401730665339052,0.014711016734524828
499,0.08441908124229446,0.0008280762992203882,0.016030966149546366
3271,0.08400320084353913,0.0033684160444522448,0.03987241361344708
5302,0.08312279400939371,0.0012471638565705045,0.021666522020624412
1599,0.08302442029208912,0.004618313983215937,0.046452489861752655
4336,0.0829480842872925,4.328260356567146e-07,0.0017219262451876297
11995,0.082193895279557,0.005137822330018076,0.04907805519281793
9097,0.08199225921156428,0.0004030792486404612,0.014099267609602643
8755,0.08196038999874489,0.0028854083664974703,0.03650500246056465
13531,0.0819532370704151,0.0027014235771286458,0.03539131766523643
12117,0.08089086690157332,1.619553056149807e-05,0.012886243816765296
12276,0.08050863450630841,0.004573467768310174,0.046179642821304503
7492,0.08029757993305082,0.0017245655800909952,0.026627024836204435
14693,0.07995980044382933,0.0025282092121349776,0.0339226272589443
15691,0.07933532105156893,0.004365182281886955,0.04526864941080304
14259,0.07891729793339874,2.7548248688988617e-05,0.014099267609602643
8783,0.07885117083334758,0.003458079609504625,0.04041687940570661
8937,0.07829614390297168,0.0023660024151883363,0.03251380405903603
11240,0.07829296987681103,0.002697025377071887,0.035353100357334404
23305,0.07798706268456662,0.005105888257529871,0.048966473566588196
21051,0.07795755362912431,0.0035554010486607618,0.040840915799582475
20369,0.07781970284814307,0.0007139357781718033,0.014320711785681468
22832,0.0771234044709617,0.0020986461714339443,0.030250413111188555
22067,0.07711038270202991,0.0003771363547807205,0.014099267609602643
3905,0.07710648438963241,0.003236120153968002,0.03896810613280062
1015,0.07674834371650285,2.360689315355866e-06,0.004986833237617333
23507,0.07673916837391924,0.00033584307092792104,0.014099267609602643
18149,0.07669187567279855,0.0017276449843968708,0.026657327587300137
9551,0.0764507111562578,0.0029358143977770298,0.036739864029815626
21530,0.07635739622984983,0.004552611039865141,0.04612513816705472
12672,0.0756267497520611,0.003375524792671949,0.03989990020584609
4104,0.07553879646153683,0.005206148990044436,0.04946897894575533
15914,0.0748812540242475,0.0023644889058519864,0.03251172245546481
422,0.07485161929337927,0.004186706905553507,0.04459468711984035
15347,0.07475331099048407,0.0017508782357035777,0.026928778019487367
15841,0.0741453253855745,0.0015309364570580727,0.024649851709312585
5229,0.07405431616237457,0.0005201588277628926,0.014099267609602643
11649,0.07389071301074224,0.00262779829222818,0.03488216085484196
1401,0.07319061517717973,0.0014970809164592373,0.024309742500599994
18985,0.07302347022573755,0.001718025574748107,0.026560408334998262
5277,0.07281893155783492,0.004742342867680958,0.047029382738489604
22927,0.07277642173032714,0.0005850945547301797,0.014099267609602643
9673,0.0726052559533017,0.0017584973048282184,0.026969545851259817
247,0.07219502464824878,0.005160499738865282,0.049213395432167115
3924,0.0719826316945733,3.306974391439459e-06,0.005310337916863957
22855,0.07198138851284511,0.004550485333493568,0.04612317830594117
5966,0.07161234234046265,0.0006736143252296486,0.014099267609602643
22257,0.07157776463179667,0.00029354962252635397,0.014099267609602643
22436,0.07135019436215348,0.0031616481868042166,0.03840638280865988
16832,0.07097613434070413,0.0030398001341897176,0.0375375215742931
17250,0.07083238761917922,0.001896687696547804,0.02846960077328697
645,0.0708070728002306,0.0002531127673695584,0.014099267609602643
4895,0.07079449560302653,0.00023462737246983072,0.014099267609602643
3778,0.06988180168767544,0.004090331075373104,0.04408902946141096
1829,0.06977147270161654,0.002614524323749323,0.034787455745761614
18713,0.06976245895773592,0.0026450489574568175,0.03495848032117038
12887,0.06956114706484767,0.005299444717716876,0.04973074547414651
17836,0.06935429758622269,0.003981001473796775,0.04331240748064826
18270,0.06919612548250134,0.0006337261921590894,0.014099267609602643
8096,0.06887624527720838,0.004237122012158392,0.04491123553739823
3063,0.06882896014567086,0.004865828130973173,0.04754290523386396
19669,0.06858615561945275,0.0034330686469824815,0.04027211052963243
21960,0.06845600903337512,0.001538872120427987,0.024702674858517855
872,0.06817449633551265,0.000912776784001895,0.017210096235485965
10193,0.0679966437032038,0.003444617471345184,0.04034495536850321
19611,0.06794239825235296,0.0007749116392388633,0.015211464497229989
7925,0.06780534350824796,0.0007592467655496285,0.01499025665315933
16958,0.06761674164492765,0.00015317443577019733,0.014099267609602643
20133,0.06753650077383219,0.002229964279011171,0.03137165396881951
18064,0.06710730652696104,0.003684908850185303,0.041607745626264514
6466,0.0667882116345826,0.00035279093103777245,0.014099267609602643
21985,0.0667492606480489,0.0027539988549048246,0.03572714818835769
21518,0.06649303814096691,0.003947631556235636,0.04312726770754791
16000,0.06635044952369144,0.005205622895170468,0.04946897894575533
12191,0.06629416171751612,0.0006223161891238361,0.014099267609602643
6802,0.06606654539331158,0.005099403385014369,0.04895436031364916
16891,0.06587258212083787,0.0029591973850243147,0.03684259496818822
20206,0.06515985416945125,0.002946107697174416,0.03676089426636347
298,0.06502202498808418,0.00042956609053973943,0.014099267609602643
6587,0.06490151223728524,0.0027216902242138603,0.035481565074814224
15302,0.06488593698593832,0.0023964244619449917,0.032818503675632216
22298,0.06483475579910367,0.004485789275971525,0.04579802823671527
17793,0.06454671415524446,0.004530572711140135,0.04597991947913053
19897,0.06426179396803866,0.00017460081571192955,0.014099267609602643
17471,0.06423224837963791,0.0013736903209010168,0.022950349014567425
22656,0.06386764082766974,0.0012925103181313767,0.02204974327228369
17344,0.06385948432664783,0.001213822508909172,0.02129407793903401
13941,0.06332072544938587,0.0036675877476982283,0.04147101825559295
17231,0.06293292952398888,0.002587411145362058,0.03452292008931935
13954,0.06280752381136612,0.002715593581820444,0.03546018533810394
20389,0.0627351492517165,0.002998324154097334,0.037179219510806945
4958,0.06266634422320205,0.0006275805965957433,0.014099267609602643
273,0.06239385171459544,0.0026391018500015444,0.03495817586786361
4639,0.0621360042805395,0.004528656444197549,0.04597991947913053
12847,0.062060449220820546,0.0020156442320998285,0.029571744740604648
21877,0.06182168628859414,0.004065885309324995,0.043955019172820485
22336,0.06176021039634497,0.0005616724908738604,0.014099267609602643
20202,0.061626650969700644,0.002343463691332818,0.032409315360437056
21727,0.06138685161286456,0.0032374911982056614,0.03896810613280062
16732,0.06111463044750469,0.005329212904375431,0.04986605724321503
21861,0.060823386388477854,0.004348707801094862,0.04526864941080304
6001,0.060322986222495434,0.001072880412431456,0.01942752329748962
3501,0.06023050163961652,0.00235412780919727,0.03244401316717023
7635,0.06009875077860882,0.0014938865948637935,0.024309742500599994
2352,0.05977852847842091,0.002816470930784594,0.03612529531702307
22600,0.05966164286316062,0.0047108850583008795,0.04689275493813261
7876,0.05961223720009867,0.0009765020803050454,0.018055077193556493
21577,0.059390139508159925,0.0015186824306784403,0.02456026397038914
18125,0.0593260449306577,0.0002926295223272862,0.014099267609602643
23202,0.05921855607430453,0.004846444804334987,0.047528610303811065
14846,0.05919075755430939,0.004311295549313778,0.04526864941080304
8556,0.05908126688613761,0.0007483055916980728,0.014835593416804816
21026,0.058987015948705916,0.0005994443746987552,0.014099267609602643
17138,0.05844352739704794,0.005021562426944485,0.04860693233218364
4069,0.058333958864873026,0.003993617002610297,0.043389912540877464
22587,0.05812397469370577,0.003401913162065446,0.040061009954860484
23854,0.0580870731762159,0.001898949682330688,0.02847231715906628
11683,0.05781715413606726,0.0023178651381565558,0.0321484258267269
3839,0.0577716321169291,0.0033623779230756707,0.039831246165665635
19406,0.05765743519556041,0.0028558164811965385,0.03638479591468266
12099,0.05753556700394756,0.004665267359978395,0.04666786193676339
